,date,NVDA open,AMD open,INTC open,ATVI open,EA open,Curde oil,Gold,Nasdaq index,ETH-USD open,BTC-USD open
0,15-Oct-21,218.1,112.51,54.2,76.5,135.85,81.48,1794.5,14891.24,3790.15,57345.9
1,14-Oct-21,212.88,110.5,52.9,75.94,136.72,80.59,1792.2,14717.5,3604.96,57372.83
2,13-Oct-21,209.18,106.28,52.38,75.34,136.96,80.58,1760.8,14537.17,3492.75,56038.26
3,12-Oct-21,208.28,105.17,53.57,76.45,139.53,80.5,1751.9,14539.09,3546.48,57526.83
4,11-Oct-21,205.75,104.62,53.81,77.74,139.92,79.59,1756.6,14540.08,3419.73,54734.13
5,8-Oct-21,211.01,106.55,54.55,77.76,137.48,78.86,1757.0,14694.72,3587.83,53802.14
6,7-Oct-21,210.92,104.6,54.32,77.27,134.76,77.0,1762.4,14631.8,3576.81,55338.63
7,6-Oct-21,201.2,100.45,53.48,75.93,143.58,79.04,1759.3,14289.45,3516.57,51486.66
8,5-Oct-21,199.5,100.92,53.55,77.25,143.13,77.58,1764.3,14312.86,3381.78,49174.96
9,4-Oct-21,205.04,101.74,53.93,78.19,143.36,75.9,1764.5,14493.12,3418.78,48208.91
10,1-Oct-21,207.5,102.6,53.65,78.06,141.9,75.12,1754.3,14494.93,3001.13,43816.74
11,30-Sep-21,207.68,102.08,53.76,77.56,139.31,74.78,1725.5,14582.6,2852.56,41551.27
12,29-Sep-21,209.4,102.3,54.0,76.53,133.85,74.38,1732.4,14614.88,2809.3,41064.98
13,28-Sep-21,212.14,106.84,54.18,74.66,131.86,75.43,1739.6,14787.21,2928.96,42200.9
14,27-Sep-21,217.1,105.07,53.94,75.03,129.27,74.19,1751.7,14954.18,3065.84,43234.18
15,24-Sep-21,220.7,105.19,53.78,74.5,127.04,73.24,1749.7,14961.61,3154.56,44894.3
16,23-Sep-21,221.4,104.89,53.75,73.13,126.99,71.97,1766.8,14960.0,3077.97,43560.3
17,22-Sep-21,213.66,102.82,53.4,73.19,126.19,70.85,1776.7,14800.59,2763.21,40677.95
18,21-Sep-21,214.17,102.15,53.2,76.61,130.01,70.59,1762.2,14803.36,2977.31,43012.23
19,20-Sep-21,211.46,101.58,53.21,78.64,131.98,71.92,1751.8,14758.14,3329.67,47261.41
20,17-Sep-21,223.0,105.56,54.59,79.42,135.17,72.62,1758.8,15163.36,3569.57,47771.0
21,16-Sep-21,221.83,104.92,54.86,78.32,137.91,72.65,1792.9,15120.09,3613.07,48158.91
22,15-Sep-21,223.09,106.0,54.67,77.73,142.15,70.76,1803.7,15071.34,3431.22,47098.0
23,14-Sep-21,222.75,105.52,55.37,78.78,145.22,70.64,1791.4,15168.45,3286.32,44960.05
24,13-Sep-21,226.84,105.26,54.61,80.12,145.41,69.74,1789.8,15211.43,3407.47,46057.21
25,10-Sep-21,223.48,106.99,53.85,78.16,142.02,67.97,1789.6,15332.92,3425.56,46396.66
26,9-Sep-21,223.12,106.56,53.66,78.81,143.27,69.36,1798.7,15296.06,3452.55,45774.74
27,8-Sep-21,225.13,108.88,53.73,78.47,145.76,68.37,1781.7,15360.35,3428.38,46827.76
